reaction,origin,added,notebook,notes
ADSK,iML1515,automatic,3.1,none
ACACT3r,iML1515,automatic,3.1,none
ACACT4r,iML1515,automatic,3.1,none
SUCCt2_2pp,iML1515,automatic,3.1,none
SUCFUMtpp,iML1515,automatic,3.1,none
HSDy,iML1515,automatic,3.1,none
CYSTL,iML1515,automatic,3.1,none
ACMAMUT,iML1515,automatic,3.1,none
SHSL1,iML1515,automatic,3.1,none
SSALy,iML1515,automatic,3.1,none
SUCptspp,iML1515,removed,3.1,EcN does not have sucrose catabolism. Removed in 4.5
SULabcpp,iML1515,automatic,3.1,none
TSULabcpp,iML1515,automatic,3.1,none
TARTRt7pp,iML1515,automatic,3.1,none
EX_dad_2_e,iML1515,automatic,3.1,none
EX_ser__D_e,iML1515,automatic,3.1,none
DDGALK,iML1515,automatic,3.1,none
EX_gam6p_e,iML1515,automatic,3.1,none
EX_15dap_e,iML1515,automatic,3.1,none
AB6PGH,iML1515,automatic,3.1,none
EX_ocdcea_e,iML1515,automatic,3.1,none
EX_cynt_e,iML1515,automatic,3.1,none
EX_galctn__D_e,iML1515,automatic,3.1,none
AMALT1,iML1515,automatic,3.1,none
EX_glyb_e,iML1515,automatic,3.1,none
AHGDx,iML1515,automatic,3.1,none
MLTP2,iML1515,automatic,3.1,none
TAURabcpp,iML1515,automatic,3.1,none
THMDt2pp_copy1,iML1515,removed,3.1,"Duplicate reaction. Removed in 4.1.""THMDt2pp_copy1_copy2"" was kept as correct reaction."
BSORx,iML1515,automatic,3.1,none
NMNt7pp,iML1515,automatic,3.1,none
EX_ca2_e,iML1515,automatic,3.1,none
EX_so3_e,iML1515,automatic,3.1,none
GLUtex,iML1515,automatic,3.1,none
Kt2pp,iML1515,automatic,3.1,none
GLYtex,iML1515,automatic,3.1,none
GP4GH,iML1515,automatic,3.1,none
GLYALDtex,iML1515,automatic,3.1,none
AKGt2rpp,iML1515,automatic,3.1,none
ACGAMT,iML1515,automatic,3.1,none
EX_ascb__L_e,iML1515,automatic,3.1,none
GLYBtex,iML1515,automatic,3.1,none
GLYCtex,iML1515,automatic,3.1,none
GLYC3Ptex,iML1515,automatic,3.1,none
GLYCLTtex,iML1515,automatic,3.1,none
GTPtex,iML1515,automatic,3.1,none
GUAtex,iML1515,automatic,3.1,none
Htex,iML1515,automatic,3.1,none
EX_ala_B_e,iML1515,automatic,3.1,none
EX_agm_e,iML1515,automatic,3.1,none
EX_minohp_e,iML1515,automatic,3.1,none
EX_ppt_e,iML1515,automatic,3.1,none
EX_hxa_e,iML1515,automatic,3.1,none
H2tex,iML1515,automatic,3.1,none
H2Otex,iML1515,automatic,3.1,none
AADDGT,iML1515,automatic,3.1,none
FACOAL160t2pp,iML1515,automatic,3.1,none
FACOAL180t2pp,iML1515,automatic,3.1,none
SPODMpp,iML1515,automatic,3.1,none
EX_lyx__L_e,iML1515,automatic,3.1,none
EX_acmum_e,iML1515,automatic,3.1,none
EX_dca_e,iML1515,automatic,3.1,none
EX_all__D_e,iML1515,automatic,3.1,none
NO3R1bpp,iML1515,automatic,3.1,none
O2tpp,iML1515,automatic,3.1,none
EX_octa_e,iML1515,automatic,3.1,none
PHYTSpp,iML1515,automatic,3.1,none
EX_gbbtn_e,iML1515,automatic,3.1,none
PPTHpp,iML1515,automatic,3.1,none
PYRt2rpp,iML1515,automatic,3.1,none
NO3R2pp,iML1515,automatic,3.1,none
EX_xylu__L_e,iML1515,automatic,3.1,none
EX_gdp_e,iML1515,automatic,3.1,none
EX_gtp_e,iML1515,automatic,3.1,none
NTP3pp,iML1515,automatic,3.1,none
NO3R2bpp,iML1515,automatic,3.1,none
THMabcpp,iML1515,automatic,3.1,none
THMDt2pp_copy2,iML1515,automatic,3.1,"Renamed to THMDt2pp_copy2 in 4.1. Original reaction and/or ""_copy1"" was removed"
THRabcpp,iML1515,automatic,3.1,none
TREptspp,iML1515,automatic,3.1,none
THD2pp,iML1515,automatic,3.1,none
TMAOR1pp,iML1515,automatic,3.1,none
TMAOR2pp,iML1515,automatic,3.1,none
XANtpp,iML1515,automatic,3.1,none
DAPtex,iML1515,automatic,3.1,none
TRPt2rpp,iML1515,automatic,3.1,none
TYRt2rpp,iML1515,automatic,3.1,none
EX_tma_e,iML1515,automatic,3.1,none
URIt2pp_copy1,iML1515,removed,3.1,"Duplicate reaction. Removed in 4.1.""URIt2pp_copy1_copy2"" was kept as correct reaction."
URIt2pp_copy2,iML1515,automatic,3.1,"Renamed to URIt2pp_copy2 in 4.1. Original reaction and/or ""_copy1"" was removed"
VALabcpp,iML1515,automatic,3.1,none
12PPDStex,iML1515,automatic,3.1,none
DDGLCNtex,iML1515,automatic,3.1,none
XTSNt2rpp,iML1515,automatic,3.1,none
XYLabcpp,iML1515,automatic,3.1,none
GMHEPK,iML1515,automatic,3.1,none
THRt4pp,iML1515,automatic,3.1,none
GALURtex,iML1515,automatic,3.1,none
GTPCI,iML1515,automatic,3.1,none
FDMO,iML1515,automatic,3.1,none
FEOXAMabcpp,iML1515,automatic,3.1,none
EX_fruur_e,iML1515,automatic,3.1,none
GALtex,iML1515,automatic,3.1,none
CBL1abcpp,iML1515,automatic,3.1,none
EX_malttr_e,iML1515,automatic,3.1,none
ACACt2pp,iML1515,automatic,3.1,none
ACGAptspp,iML1515,automatic,3.1,none
ACMANAptspp,iML1515,automatic,3.1,none
ACNAMt2pp,iML1515,automatic,3.1,none
GALCTtex,iML1515,automatic,3.1,none
GALCTNtex,iML1515,automatic,3.1,none
GALTtex,iML1515,automatic,3.1,none
EX_cbi_e,iML1515,automatic,3.1,none
CHOLD,iML1515,automatic,3.1,none
TRE6PS,iML1515,automatic,3.1,none
DRPA,iML1515,automatic,3.1,none
TKT2,iML1515,automatic,3.1,none
EX_arbtn_fe3_e,iML1515,automatic,3.1,none
UDCPDP,iML1515,automatic,3.1,none
EX_cpgn_e,iML1515,automatic,3.1,none
EX_ch4_e,iML1515,automatic,3.1,none
FEENTERabcpp,iML1515,automatic,3.1,none
EX_adocbl_e,iML1515,automatic,3.1,none
FECRMabcpp,iML1515,automatic,3.1,none
TREH,iML1515,automatic,3.1,none
GAMtex,iML1515,automatic,3.1,none
GBBTNtex,iML1515,automatic,3.1,none
ATPS4rpp,iML1515,automatic,3.1,none
INDOLEtex,iML1515,automatic,3.1,none
ARBt2rpp,iML1515,automatic,3.1,none
CYTK1,iML1515,automatic,3.1,none
DAPabcpp,iML1515,automatic,3.1,none
L_LACtex,iML1515,automatic,3.1,none
ACt4pp,iML1515,automatic,3.1,none
ADEt2rpp,iML1515,automatic,3.1,none
CO2tpp,iML1515,automatic,3.1,none
DHAtpp,iML1515,automatic,3.1,none
DMSOR1pp,iML1515,automatic,3.1,none
ARGabcpp,iML1515,automatic,3.1,none
ADNt2pp_copy1,iML1515,removed,3.1,"Duplicate reaction. Removed in 4.1.""ADNt2pp_copy1_copy2"" was kept as correct reaction."
ADNt2pp_copy2,iML1515,automatic,3.1,"Renamed to ADNt2pp_copy2 in 4.1. Original reaction and/or ""_copy1"" was removed"
ALAabcpp,iML1515,automatic,3.1,none
ALLabcpp,iML1515,automatic,3.1,none
ALLTNt2rpp,iML1515,automatic,3.1,none
ARBabcpp,iML1515,automatic,3.1,none
ARGAGMt7pp,iML1515,automatic,3.1,none
ASCBptspp,iML1515,automatic,3.1,none
CYTK2,iML1515,automatic,3.1,none
ASNt2rpp,iML1515,automatic,3.1,none
ASPabcpp,iML1515,automatic,3.1,none
ASPt2pp,iML1515,automatic,3.1,none
ECOAH8,iML1515,automatic,3.1,none
GLCDpp,iML1515,automatic,3.1,none
GUAtpp,iML1515,automatic,3.1,none
ASPt2_2pp,iML1515,automatic,3.1,none
HYD2pp,iML1515,automatic,3.1,none
GK1,iML1515,automatic,3.1,none
HYXNtpp,iML1515,automatic,3.1,none
NACtpp,iML1515,automatic,3.1,none
ASPt2_3pp,iML1515,automatic,3.1,none
HIStex,iML1515,automatic,3.1,none
FE3DCITabcpp,iML1515,automatic,3.1,none
HXAtex,iML1515,automatic,3.1,none
HACD1,iML1515,automatic,3.1,none
HYXNtex,iML1515,automatic,3.1,none
IDONtex,iML1515,automatic,3.1,none
ILEtex,iML1515,automatic,3.1,none
INSTtex,iML1515,automatic,3.1,none
INStex,iML1515,automatic,3.1,none
Ktex,iML1515,automatic,3.1,none
CPGNtonex,iML1515,automatic,3.1,none
GLCRtex,iML1515,automatic,3.1,none
GLCNtex,iML1515,automatic,3.1,none
GLCURtex,iML1515,automatic,3.1,none
GLNtex,iML1515,automatic,3.1,none
O2tex,iML1515,automatic,3.1,none
EX_ppa_e,iML1515,automatic,3.1,none
HACD2,iML1515,automatic,3.1,none
OCTAtex,iML1515,automatic,3.1,none
D_LACtex,iML1515,automatic,3.1,none
NTD8pp,iML1515,automatic,3.1,none
ORNtex,iML1515,automatic,3.1,none
FRULYStex,iML1515,automatic,3.1,none
MALTtexi,iML1515,automatic,3.1,none
ECOAH5,iML1515,automatic,3.1,none
DHFS,iML1515,automatic,3.1,none
CITt7pp,iML1515,automatic,3.1,none
CRNt7pp,iML1515,automatic,3.1,none
EX_ni2_e,iML1515,automatic,3.1,none
GLCtex_copy1,iML1515,removed,3.1,Incorrect gene. Removed in 4.1. Original was kept.
EX_no_e,iML1515,automatic,3.1,none
CHLabcpp,iML1515,automatic,3.1,none
DGSNt2pp,iML1515,automatic,3.1,none
FE3DCITtonex,iML1515,automatic,3.1,none
DINSt2pp,iML1515,automatic,3.1,none
DURIt2pp,iML1515,automatic,3.1,none
FE2abcpp,iML1515,automatic,3.1,none
FRUptspp,iML1515,automatic,3.1,none
FUCtpp,iML1515,automatic,3.1,none
EX_fad_e,iML1515,automatic,3.1,none
GALCTt2rpp,iML1515,automatic,3.1,none
GALt2pp,iML1515,automatic,3.1,none
ASPtex,iML1515,automatic,3.1,none
ABUTt2pp,iML1515,automatic,3.1,none
FUMt2_2pp,iML1515,automatic,3.1,none
FUMt2_3pp,iML1515,automatic,3.1,none
PHEtex,iML1515,automatic,3.1,none
FEENTERtonex,iML1515,automatic,3.1,none
CSNt2pp,iML1515,automatic,3.1,none
CYSabcpp,iML1515,automatic,3.1,none
SBTptspp,iML1515,automatic,3.1,none
PItex,iML1515,automatic,3.1,none
TREHpp,iML1515,automatic,3.1,none
CYTBDpp,iML1515,automatic,3.1,none
CYTDt2pp_copy1,iML1515,removed,3.1,"Duplicate reaction. Removed in 4.1.""CYTDt2pp_copy1_copy2"" was kept as correct reaction."
CYTDt2pp_copy2,iML1515,automatic,3.1,"Renamed to CYTDt2pp_copy2 in 4.1. Original reaction and/or ""_copy1"" was removed"
DADNt2pp,iML1515,automatic,3.1,none
DCYTt2pp,iML1515,automatic,3.1,none
CYTBD2pp,iML1515,automatic,3.1,none
ACGAMK,iML1515,automatic,3.1,none
ACALDtpp,iML1515,automatic,3.1,none
ACt2rpp,iML1515,automatic,3.1,none
DDGLCNt2rpp,iML1515,automatic,3.1,none
RMNtex,iML1515,automatic,3.1,none
EX_meoh_e,iML1515,automatic,3.1,none
EX_fe3dcit_e,iML1515,automatic,3.1,none
EX_fe3hox_e,iML1515,automatic,3.1,none
EX_fecrm_e,iML1515,automatic,3.1,none
EX_feenter_e,iML1515,automatic,3.1,none
EX_feoxam_e,iML1515,automatic,3.1,none
MALTTRtexi,iML1515,automatic,3.1,none
MALTTTRtexi,iML1515,automatic,3.1,none
MALTPTtexi,iML1515,automatic,3.1,none
METS,iML1515,automatic,3.1,none
ASPO3,iML1515,automatic,3.1,none
ASPO5,iML1515,automatic,3.1,none
ASPO4,iML1515,automatic,3.1,none
EX_3amp_e,iML1515,automatic,3.1,none
EX_3gmp_e,iML1515,automatic,3.1,none
EX_3ump_e,iML1515,automatic,3.1,none
ASPO6,iML1515,automatic,3.1,none
EX_cu2_e,iML1515,automatic,3.1,none
LCTStex,iML1515,automatic,3.1,none
LEUtex,iML1515,automatic,3.1,none
LYStex,iML1515,automatic,3.1,none
EX_glyc__R_e,iML1515,automatic,3.1,none
EX_eca4colipa_e,iML1515,automatic,3.1,none
GLYOX3,iML1515,automatic,3.1,none
FDMO3,iML1515,automatic,3.1,none
LYXtex,iML1515,automatic,3.1,none
MANtex,iML1515,automatic,3.1,none
MAN6Ptex,iML1515,automatic,3.1,none
FDMO4,iML1515,automatic,3.1,none
CYSabc2pp,iML1515,automatic,3.1,none
BUTSO3abcpp,iML1515,automatic,3.1,none
ETHSO3abcpp,iML1515,automatic,3.1,none
MELIBtex,iML1515,automatic,3.1,none
DMSOtex,iML1515,automatic,3.1,none
DURItex,iML1515,automatic,3.1,none
EX_mal__D_e,iML1515,automatic,3.1,none
FRUtex,iML1515,automatic,3.1,none
FUCtex,iML1515,automatic,3.1,none
EX_sel_e,iML1515,automatic,3.1,none
EX_hg2_e,iML1515,automatic,3.1,none
FUMtex,iML1515,automatic,3.1,none
ACACT5r,iML1515,automatic,3.1,none
PRASCSi,iML1515,automatic,3.1,none
MALTATr,iML1515,automatic,3.1,none
DHBSH,iML1515,automatic,3.1,none
FE2tex,iML1515,automatic,3.1,none
NMNtex,iML1515,automatic,3.1,none
ENTERES,iML1515,automatic,3.1,none
NO2tex,iML1515,automatic,3.1,none
TRSARr,iML1515,automatic,3.1,none
DHPS2,iML1515,automatic,3.1,none
FEOXAMUtex,iML1515,automatic,3.1,none
ARBTNtpp,iML1515,automatic,3.1,none
MTHFC,iML1515,automatic,3.1,none
ARBTNtex,iML1515,automatic,3.1,none
MTHFD,iML1515,automatic,3.1,none
LYXI,iML1515,automatic,3.1,none
BUTt2rpp,iML1515,automatic,3.1,none
CADVtpp,iML1515,automatic,3.1,none
QULNS,iML1515,automatic,3.1,none
23CAMPtex,iML1515,automatic,3.1,none
23CCMPtex,iML1515,automatic,3.1,none
23CUMPtex,iML1515,automatic,3.1,none
23CGMPtex,iML1515,automatic,3.1,none
3AMPtex,iML1515,automatic,3.1,none
3CMPtex,iML1515,automatic,3.1,none
LADGMDH,iML1515,automatic,3.1,none
ALKP,iML1515,automatic,3.1,none
GDPtex,iML1515,automatic,3.1,none
EX_cobalt2_e,iML1515,automatic,3.1,none
ALAGLUE,iML1515,automatic,3.1,none
FEENTERtpp,iML1515,automatic,3.1,none
TMAtex,iML1515,automatic,3.1,none
EX_pheme_e,iML1515,automatic,3.1,none
TMAOtex,iML1515,automatic,3.1,none
TREtex,iML1515,automatic,3.1,none
L_LACD3,iML1515,automatic,3.1,none
FEENTERtex,iML1515,automatic,3.1,none
FE3HOXUtpp,iML1515,automatic,3.1,none
FEOXAMUtpp,iML1515,automatic,3.1,none
FECRMUtpp,iML1515,automatic,3.1,none
FE3HOXR2,iML1515,automatic,3.1,none
L_LACD2,iML1515,automatic,3.1,none
ACACT6r,iML1515,automatic,3.1,none
TRPtex,iML1515,automatic,3.1,none
PTRCt2pp,iML1515,automatic,3.1,none
PNTOtex,iML1515,automatic,3.1,none
FDMO6,iML1515,automatic,3.1,none
TSULtex,iML1515,automatic,3.1,none
TYRtex,iML1515,automatic,3.1,none
URAtex,iML1515,automatic,3.1,none
UREAtex,iML1515,automatic,3.1,none
URItex,iML1515,automatic,3.1,none
SULFACabcpp,iML1515,automatic,3.1,none
ETHSO3tex,iML1515,automatic,3.1,none
BUTSO3tex,iML1515,automatic,3.1,none
LIPOtex,iML1515,automatic,3.1,none
CYANSTpp,iML1515,automatic,3.1,none
VALtex,iML1515,automatic,3.1,none
XANtex,iML1515,automatic,3.1,none
MCPST,iML1515,automatic,3.1,none
XYLtex,iML1515,automatic,3.1,none
PPPNtex,iML1515,automatic,3.1,none
ABUTtex,iML1515,automatic,3.1,none
FORtppi,iML1515,automatic,3.1,none
PHEMEabcpp,iML1515,automatic,3.1,none
METSOX1abcpp,iML1515,automatic,3.1,none
PPTtex,iML1515,automatic,3.1,none
GALBDtex,iML1515,automatic,3.1,none
LIPAHT2ex,iML1515,automatic,3.1,none
DATPHs,iML1515,automatic,3.1,none
GLCTR1,iML1515,automatic,3.1,none
LIPAabcpp,iML1515,automatic,3.1,none
LIPAHTex,iML1515,automatic,3.1,none
LIPACabcpp,iML1515,automatic,3.1,none
ECAP1pp,iML1515,automatic,3.1,none
PTRCtex,iML1515,automatic,3.1,none
UDCPDPpp,iML1515,automatic,3.1,none
EX_mso3_e,iML1515,automatic,3.1,none
EX_23camp_e,iML1515,automatic,3.1,none
EX_23cgmp_e,iML1515,automatic,3.1,none
EX_23cump_e,iML1515,automatic,3.1,none
ECAP2pp,iML1515,automatic,3.1,none
FE3Ri,iML1515,automatic,3.1,none
FE3HOXR3,iML1515,automatic,3.1,none
FEENTERR1,iML1515,automatic,3.1,none
NODOy,iML1515,automatic,3.1,none
PYRtex,iML1515,automatic,3.1,none
GALM2pp,iML1515,automatic,3.1,none
CU1abcpp,iML1515,automatic,3.1,none
HG2abcpp,iML1515,automatic,3.1,none
FEENTERR3,iML1515,automatic,3.1,none
SULFACtex,iML1515,automatic,3.1,none
EX_sulfac_e,iML1515,automatic,3.1,none
EX_butso3_e,iML1515,automatic,3.1,none
EX_ethso3_e,iML1515,automatic,3.1,none
DSERtex,iML1515,automatic,3.1,none
LA4NTpp,iML1515,automatic,3.1,none
NODOx,iML1515,automatic,3.1,none
SERtex,iML1515,automatic,3.1,none
NOtex,iML1515,automatic,3.1,none
NOtpp,iML1515,automatic,3.1,none
NHFRBO,iML1515,automatic,3.1,none
N2Otpp,iML1515,automatic,3.1,none
N2Otex,iML1515,automatic,3.1,none
CRNt8pp,iML1515,automatic,3.1,none
CRNt2rpp,iML1515,automatic,3.1,none
CRNDt2rpp,iML1515,automatic,3.1,none
CTBTt2rpp,iML1515,automatic,3.1,none
PACALDt2rpp,iML1515,automatic,3.1,none
PEAMNtex,iML1515,automatic,3.1,none
PACALDtex,iML1515,automatic,3.1,none
LIPOt2pp,iML1515,automatic,3.1,none
AGM4PA,iML1515,automatic,3.1,none
RNDR3b,iML1515,automatic,3.1,none
RNDR4b,iML1515,automatic,3.1,none
ACGAL1Ptex,iML1515,automatic,3.1,none
ACGALtex,iML1515,automatic,3.1,none
GLCUR1Ptex,iML1515,automatic,3.1,none
UDPGLCURtex,iML1515,automatic,3.1,none
UDPGALPpp,iML1515,automatic,3.1,none
UACGAMPpp,iML1515,automatic,3.1,none
UACGALPpp,iML1515,automatic,3.1,none
UGLCURPpp,iML1515,automatic,3.1,none
FEROpp,iML1515,automatic,3.1,none
ISETACabcpp,iML1515,automatic,3.1,none
ISETACtex,iML1515,automatic,3.1,none
GUR1PPpp,iML1515,automatic,3.1,none
UDPGtex,iML1515,automatic,3.1,none
ACGAL1PPpp,iML1515,automatic,3.1,none
UDPGALtex,iML1515,automatic,3.1,none
ACGAM1Ptex,iML1515,automatic,3.1,none
UACGAMtex,iML1515,automatic,3.1,none
UDPACGALtex,iML1515,automatic,3.1,none
AM4PCP,iML1515,automatic,3.1,none
AM3PA,iML1515,automatic,3.1,none
UM4PCP,iML1515,automatic,3.1,none
CBLAT,iML1515,automatic,3.1,none
NTRIR4pp,iML1515,automatic,3.1,none
NTRIR3pp,iML1515,automatic,3.1,none
INOSTt4pp,iML1515,automatic,3.1,none
PHEMEtiex,iML1515,automatic,3.1,none
AGM3PA,iML1515,automatic,3.1,none
CYANtex,iML1515,automatic,3.1,none
SO3tex,iML1515,automatic,3.1,none
TCYNTtex,iML1515,automatic,3.1,none
ACANTHAT,iML1515,automatic,3.1,none
METSOX2abcpp,iML1515,automatic,3.1,none
METSOX1tex,iML1515,automatic,3.1,none
METSOX2tex,iML1515,automatic,3.1,none
3UMPtex,iML1515,automatic,3.1,none
MSO3abcpp,iML1515,automatic,3.1,none
MSO3tex,iML1515,automatic,3.1,none
FECRMR1,iML1515,automatic,3.1,none
FECRMR2,iML1515,automatic,3.1,none
TDP,iML1515,automatic,3.1,none
3PEPTabcpp,iML1515,automatic,3.1,none
4PEPTabcpp,iML1515,automatic,3.1,none
3GMPtex,iML1515,automatic,3.1,none
FALDtpp,iML1515,automatic,3.1,none
EX_tym_e,iML1515,automatic,3.1,none
AGM3Pt2pp,iML1515,automatic,3.1,none
SO4tex,iML1515,automatic,3.1,none
AGM4Pt2pp,iML1515,automatic,3.1,none
AGMt2pp,iML1515,automatic,3.1,none
FECRMexs,iML1515,automatic,3.1,none
ARBTNR1,iML1515,automatic,3.1,none
ARBTNR2,iML1515,automatic,3.1,none
METSOXR1,iML1515,automatic,3.1,none
METSOXR2,iML1515,automatic,3.1,none
DAPAL,iML1515,automatic,3.1,none
AMPTASECG,iML1515,automatic,3.1,none
EX_imp_e,iML1515,automatic,3.1,none
DOPAtex,iML1515,automatic,3.1,none
4HOXPACDtex,iML1515,automatic,3.1,none
ARBTNR3,iML1515,automatic,3.1,none
ARBTNexs,iML1515,automatic,3.1,none
FEOXAMexs,iML1515,automatic,3.1,none
LACZpp,iML1515,automatic,3.1,none
SPMDtex,iML1515,automatic,3.1,none
GPDDA1pp,iML1515,automatic,3.1,none
GPDDA5pp,iML1515,automatic,3.1,none
ETHAtex,iML1515,automatic,3.1,none
G3PStex,iML1515,automatic,3.1,none
FEOXAMR1,iML1515,automatic,3.1,none
FEOXAMR2,iML1515,automatic,3.1,none
FEOXAMR3,iML1515,automatic,3.1,none
PTHRpp,iML1515,automatic,3.1,none
FEENTERR2,iML1515,automatic,3.1,none
FLVR,iML1515,automatic,3.1,none
SUCCtex,iML1515,automatic,3.1,none
FE3HOXR1,iML1515,automatic,3.1,none
FEENTERexs,iML1515,automatic,3.1,none
SUCRtex,iML1515,automatic,3.1,none
FE3HOXexs,iML1515,automatic,3.1,none
FECRMR3,iML1515,automatic,3.1,none
FDMO2,iML1515,automatic,3.1,none
LALGP,iML1515,automatic,3.1,none
AGM4PApp,iML1515,automatic,3.1,none
ARABDI,iML1515,automatic,3.1,none
AGt3,iML1515,automatic,3.1,none
CD2t3pp,iML1515,automatic,3.1,none
ZNabcpp,iML1515,automatic,3.1,none
SKMt2pp,iML1515,automatic,3.1,none
FE2t2pp,iML1515,automatic,3.1,none
GLYC2Ptex,iML1515,automatic,3.1,none
PSERtex,iML1515,automatic,3.1,none
TARTRtex,iML1515,automatic,3.1,none
R5Ptex,iML1515,automatic,3.1,none
THRPtex,iML1515,automatic,3.1,none
TYRPtex,iML1515,automatic,3.1,none
R5PPpp,iML1515,automatic,3.1,none
PSP_Lpp,iML1515,automatic,3.1,none
TYRPpp,iML1515,automatic,3.1,none
R1PK,iML1515,automatic,3.1,none
PAPSR2,iML1515,automatic,3.1,none
GRXR,iML1515,automatic,3.1,none
RNDR1b,iML1515,automatic,3.1,none
R15BPK,iML1515,automatic,3.1,none
Kabcpp,iML1515,automatic,3.1,none
RNDR2b,iML1515,automatic,3.1,none
TAURtex,iML1515,automatic,3.1,none
FACOAE181,iML1515,automatic,3.1,none
FACOAE160,iML1515,automatic,3.1,none
FACOAE140,iML1515,automatic,3.1,none
LEUabcpp,iML1515,automatic,3.1,none
L_LACt2rpp,iML1515,automatic,3.1,none
MALt2_2pp,iML1515,automatic,3.1,none
CPGNR1,iML1515,automatic,3.1,none
CPGNR2,iML1515,automatic,3.1,none
THRtex,iML1515,automatic,3.1,none
CPGNR3,iML1515,automatic,3.1,none
CPGNUtpp,iML1515,automatic,3.1,none
CPGNUtex,iML1515,automatic,3.1,none
MALt2_3pp,iML1515,automatic,3.1,none
MALTabcpp,iML1515,automatic,3.1,none
MALTHXabcpp,iML1515,automatic,3.1,none
MALTPTabcpp,iML1515,automatic,3.1,none
AAMYL,iML1515,automatic,3.1,none
AAMYLpp,iML1515,automatic,3.1,none
MALTTRabcpp,iML1515,automatic,3.1,none
THMDtex,iML1515,automatic,3.1,none
MALTTTRabcpp,iML1515,automatic,3.1,none
MAN6Pt6_2pp,iML1515,automatic,3.1,none
FACOAL80t2pp,iML1515,automatic,3.1,none
PPGPPDP,iML1515,automatic,3.1,none
CPGNabcpp,iML1515,automatic,3.1,none
CPGNexs,iML1515,automatic,3.1,none
MELIBt2pp,iML1515,automatic,3.1,none
CBIuabcpp,iML1515,automatic,3.1,none
METabcpp,iML1515,automatic,3.1,none
CITtex,iML1515,automatic,3.1,none
ACGAtex,iML1515,automatic,3.1,none
GUACYC,iML1515,automatic,3.1,none
EX_fe3hox_un_e,iML1515,automatic,3.1,none
EX_23dappa_e,iML1515,automatic,3.1,none
RMNtpp,iML1515,automatic,3.1,none
23PDE2pp,iML1515,automatic,3.1,none
23PDE4pp,iML1515,automatic,3.1,none
23PDE9pp,iML1515,automatic,3.1,none
SERt4pp,iML1515,automatic,3.1,none
METDtex,iML1515,automatic,3.1,none
SUCCt2_3pp,iML1515,automatic,3.1,none
MNLptspp,iML1515,automatic,3.1,none
NAt3_1p5pp,iML1515,automatic,3.1,none
ATPHs,iML1515,automatic,3.1,none
SARCOX,iML1515,automatic,3.1,none
GTPHs,iML1515,automatic,3.1,none
MN6PP,iML1515,automatic,3.1,none
NAt3_2pp,iML1515,automatic,3.1,none
NH4tpp,iML1515,automatic,3.1,none
3KGK,iML1515,automatic,3.1,none
METtex,iML1515,automatic,3.1,none
EX_cd2_e,iML1515,automatic,3.1,none
F6PP,iML1515,automatic,3.1,none
NMNPtpp,iML1515,automatic,3.1,none
NO2t2rpp,iML1515,automatic,3.1,none
NO3t7pp,iML1515,automatic,3.1,none
ORNabcpp,iML1515,automatic,3.1,none
PIuabcpp,iML1515,automatic,3.1,none
PNTOt4pp,iML1515,automatic,3.1,none
METDabcpp,iML1515,automatic,3.1,none
GDPMNH,iML1515,automatic,3.1,none
FACOAL60t2pp,iML1515,automatic,3.1,none
ILEabcpp,iML1515,automatic,3.1,none
INDOLEt2pp,iML1515,automatic,3.1,none
INSt2pp,iML1515,removed,3.1,"Duplicate reaction. Removed in 4.1.""INSt2pp_copy2"" was kept as correct reaction."
PROabcpp,iML1515,automatic,3.1,none
PROt2rpp,iML1515,automatic,3.1,none
MNLtex,iML1515,automatic,3.1,none
PROt4pp,iML1515,automatic,3.1,none
PTRCabcpp,iML1515,automatic,3.1,none
LYXt2pp,iML1515,automatic,3.1,none
GDPDPK,iML1515,automatic,3.1,none
ASNNpp,iML1515,automatic,3.1,none
GLUNpp,iML1515,automatic,3.1,none
G6Ptex,iML1515,automatic,3.1,none
NTD12,iML1515,automatic,3.1,none
TUNGSabcpp,iML1515,automatic,3.1,none
NAtex,iML1515,automatic,3.1,none
MOBDabcpp,iML1515,automatic,3.1,none
MOBDtex,iML1515,automatic,3.1,none
NI2uabcpp,iML1515,automatic,3.1,none
FECRMtonex,iML1515,automatic,3.1,none
ARBTNtonex,iML1515,automatic,3.1,none
ADOCBLabcpp,iML1515,automatic,3.1,none
EX_enter_e,iML1515,automatic,3.1,none
EX_fecrm_un_e,iML1515,automatic,3.1,none
EX_cgly_e,iML1515,automatic,3.1,none
NI2tex,iML1515,automatic,3.1,none
NTD10pp,iML1515,automatic,3.1,none
NTD1pp,iML1515,automatic,3.1,none
EX_chtbs_e,iML1515,automatic,3.1,none
EX_gmp_e,iML1515,automatic,3.1,none
NTD2pp,iML1515,automatic,3.1,none
NACtex,iML1515,automatic,3.1,none
NTD3pp,iML1515,automatic,3.1,none
NTD4pp,iML1515,automatic,3.1,none
NTD5pp,iML1515,automatic,3.1,none
EX_h2o2_e,iML1515,automatic,3.1,none
EX_ump_e,iML1515,automatic,3.1,none
EX_pydam_e,iML1515,automatic,3.1,none
CRNabcpp,iML1515,automatic,3.1,none
CRNDabcpp,iML1515,automatic,3.1,none
DNTPPA,iML1515,automatic,3.1,none
NTD6pp,iML1515,automatic,3.1,none
NTD7pp,iML1515,automatic,3.1,none
CTBTabcpp,iML1515,automatic,3.1,none
NTD9pp,iML1515,automatic,3.1,none
NH4tex,iML1515,automatic,3.1,none
