ID,Name,Reaction Formula,Gene Rules,Subsystem,Essentiality,LB,UB,FVA_min,FVA_max,RHEA,BioCyc,MetaNetX (MNX) Equation,KEGG Reaction,SEED Reaction,EC Number,Reactome Reaction
GLUTRR,Glutamyl-tRNA reductase,glutrna_c + h_c + nadph_c --> glu1sa_c + nadp_c + trnaglu_c,CIW80_24945,Cofactor and Prosthetic Group Biosynthesis,Essential,0.0,1000.0,0.004000727151868931,0.004000727151533882,,,MNXR100294,R04109,rxn06591,1.2.1.70,
GLCS1,Glycogen synthase (ADPGlc),adpglc_c --> adp_c + glycogen_c + h_c,CIW80_11725,Glycolysis/Gluconeogenesis,Not essential,0.0,1000.0,0.0,-2.094061072342661e-12,,,MNXR100223,,rxn13643,2.4.1.21,
GLCP,Glycogen phosphorylase,glycogen_c + pi_c --> g1p_c,CIW80_11720 or CIW80_11625,Glycolysis/Gluconeogenesis,Not essential,0.0,1000.0,0.0,-2.094061072342661e-12,,,MNXR100214,,rxn13299,,
EX_din_e,Deoxyinosine exchange,din_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,-1.2139484477348724e-13,,,MNXR97466,,rxn08344,,
EX_fmn_e,FMN exchange,fmn_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,-6.92251594162858e-14,,META:TRANS-RXN0-595,MNXR124060,,,,
EX_gthox_e,Oxidized glutathione exchange,gthox_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,0.0,,,MNXR100443,,rxn09677,,
HEMEOS,Heme O synthase,frdp_c + h2o_c + pheme_c --> hemeO_c + ppi_c,CIW80_20255,Cofactor and Prosthetic Group Biosynthesis,Not essential,0.0,1000.0,0.0,-3.988277214675243e-18,28073,,MNXR100596,R07411,,2.5.1.-,R-XTR-2995330
ADMDC,Adenosylmethionine decarboxylase,amet_c + h_c --> ametam_c + co2_c,CIW80_18355,Arginine and Proline Metabolism,Not essential,0.0,1000.0,0.0,-8.635303391103724e-14,15984,META:SAMDECARB-RXN,MNXR95455,R00178,rxn00127,4.1.1.50,
AGMT,Agmatinase,agm_c + h2o_c --> ptrc_c + urea_c,CIW80_08440,Arginine and Proline Metabolism,Not essential,0.0,1000.0,-3.867916481554576e-13,-3.4901017872377577e-13,13932,META:AGMATIN-RXN,MNXR95554,R01157,rxn00858,3.5.3.11,R-XTR-350604
ARGDC,Arginine decarboxylase,arg__L_c + h_c --> agm_c + co2_c,CIW80_15885,Arginine and Proline Metabolism,Not essential,0.0,1000.0,0.0,-3.4901017872377577e-13,17644,META:ARGDECARBOX-RXN,MNXR95940,R00566,rxn00405,4.1.1.19,R-XTR-350598
ARGSS,Argininosuccinate synthase,asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c,CIW80_10330,Arginine and Proline Metabolism,Essential,0.0,1000.0,0.3316656630340849,0.33166566303324724,10935,META:ARGSUCCINSYN-RXN,MNXR138060,R01954,rxn01434,6.3.4.5,R-XTR-70577
AGPR,N-acetyl-g-glutamyl-phosphate reductase,acg5sa_c + nadp_c + pi_c <=> acg5p_c + h_c + nadph_c,CIW80_14820,Arginine and Proline Metabolism,Essential,-1000.0,1000.0,-0.33166566303460054,-0.33166566303408485,21591,META:N-ACETYLGLUTPREDUCT-RXN,MNXR95530,R03443,rxn02465,1.2.1.38,
SPMS,Spermidine synthase,ametam_c + ptrc_c --> 5mta_c + h_c + spmd_c,CIW80_18360,Arginine and Proline Metabolism,Not essential,0.0,1000.0,0.0,-8.635303391103724e-14,12724,META:SPERMIDINESYN-RXN,MNXR95860,R01920,rxn01406,2.5.1.16,
G1SAT,Glutamate-1-semialdehyde aminotransferase,glu1sa_c <=> 5aop_c,CIW80_18535,Cofactor and Prosthetic Group Biosynthesis,Essential,-1000.0,1000.0,0.004000727151868932,0.004000727151533883,14268,META:GSAAMINOTRANS-RXN,MNXR99850,R02272,rxn01629,5.4.3.8,
KDOCT2,3-deoxy-manno-octulosonate cytidylyltransferase,ctp_c + kdo_c --> ckdo_c + ppi_c,CIW80_22605,Lipopolysaccharide Biosynthesis / Recycling,Essential,0.0,1000.0,0.043631248580023485,0.043631248579967655,23451,META:CPM-KDOSYNTH-RXN,MNXR100932,,,2.7.7.38,
OAADC,Oxaloacetate decarboxylase,h_c + oaa_c --> co2_c + pyr_c,CIW80_02170,Pyruvate Metabolism,Not essential,0.0,1000.0,0.0,-2.0940610723426696e-12,15644,META:OXALODECARB-RXN,MNXR102097,R00217,rxn00162,4.1.1.3,
MNNH,D-mannonate hydrolyase,mana_c --> 2ddglcn_c + h2o_c,CIW80_17250,Alternate Carbon Metabolism,Not essential,0.0,1000.0,-7.735832963107931e-13,0.0,20100,META:MANNONDEHYDRAT-RXN,MNXR138624,R05606,rxn03885,4.2.1.8,
ALTRH,Altronate hydrolase,altrn_c --> 2ddglcn_c + h2o_c,CIW80_09960,Alternate Carbon Metabolism,Not essential,0.0,1000.0,-7.735832963108059e-13,0.0,15960,META:ALTRODEHYDRAT-RXN,MNXR138045,R01540,rxn01122,4.2.1.7,
GUI1,Glucuronate isomerase (D-glucuronate),glcur_c <=> fruur_c,CIW80_09965,Alternate Carbon Metabolism,Not essential,-1000.0,1000.0,-7.735832963107814e-13,0.0,13052,,MNXR100468,R01482,rxn01080,5.3.1.12,
PGAMT,Phosphoglucosamine mutase,gam1p_c <=> gam6p_c,CIW80_10350,Cell Envelope Biosynthesis,Essential,-1000.0,1000.0,-0.10594750760284921,-0.10594750760252003,23427,META:5.4.2.10-RXN,MNXR102526,R02060,rxn01485,5.4.2.10,
UAGDP,UDP-N-acetylglucosamine diphosphorylase,acgam1p_c + h_c + utp_c --> ppi_c + uacgam_c,CIW80_13515,Cell Envelope Biosynthesis,Essential,0.0,1000.0,0.10594750760252006,0.10594750760216361,,,MNXR105033,,rxn00293,2.7.7.23,R-XTR-446204
UAGCVT,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,pep_c + uacgam_c --> pi_c + uaccg_c,CIW80_10415,Cell Envelope Biosynthesis,Essential,0.0,1000.0,0.031158129511248276,0.031158129511070054,18684,META:UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN,MNXR105032,R00660,rxn00461,2.5.1.7,
GLUR,Glutamate racemase,glu__D_c <=> glu__L_c,CIW80_14890,Cell Envelope Biosynthesis,Essential,-1000.0,1000.0,-0.031158129511388927,-0.031158129511248276,12816,META:GLUTRACE-RXN,MNXR100288,R00260,rxn00193,5.1.1.3,
UAG2E,UDP-N-acetylglucosamine 2-epimerase,uacgam_c <=> uacmam_c,CIW80_13790,Cell Envelope Biosynthesis,Not essential,-1000.0,1000.0,0.0,0.0,17216,META:UDPGLCNACEPIM-RXN,MNXR141025,R00420,rxn00297,5.1.3.14,
EX_acald_e,Acetaldehyde exchange,acald_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,-2.792081429790163e-12,,,MNXR95212,,rxn13212,,R-HSA-449872
EX_melib_e,Melibiose exchange,melib_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,-3.2216324189886573e-13,,,MNXR138589,,,,
MACPD,Malonyl-ACP decarboxylase,h_c + malACP_c --> acACP_c + co2_c,CIW80_05545,Membrane Lipid Metabolism,Not essential,0.0,1000.0,0.0,-2.094061072342655e-12,,META:MALONYL-ACPDECARBOX-RXN,MNXR101327,R09482,rxn08861,4.1.1.87,
DMQMT,3-Dimethylubiquinonol 3-methyltransferase,2omhmbl_c + amet_c --> ahcys_c + h_c + q8h2_c,CIW80_05110,Cofactor and Prosthetic Group Biosynthesis,Not essential,0.0,1000.0,0.0,-3.989541061149314e-18,28682,META:DHHB-METHYLTRANSFER-RXN,MNXR97527,,rxn08353,2.1.1.64,
EX_sucr_e,Sucrose exchange,sucr_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,0.0,,,MNXR104641,,rxn09275,,
EX_tre_e,Trehalose exchange,tre_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,0.0,17632,,MNXR104933,,rxn09323,,
EX_zn2_e,Zinc exchange,zn2_e <=> ,,Extracellular exchange,Essential,-1000,1000.0,-0.00038235649072401284,-0.0003823564906915094,29354,META:RXN0-12,MNXR105280,,rxn09391,,R-XTR-442422
HACD5,3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA),3oddcoa_c + h_c + nadh_c <=> 3hddcoa_c + nad_c,CIW80_14210 or CIW80_05635,Membrane Lipid Metabolism,Not essential,-1000.0,1000.0,0.39904113755675863,0.39904113755788634,31182,,MNXR100546,R04741,rxn03242,1.1.1.35,R-XTR-77254
DNMPPA,Dihydroneopterin monophosphate dephosphorylase,dhpmp_c + h2o_c --> dhnpt_c + pi_c,,Cofactor and Prosthetic Group Biosynthesis,Essential,0.0,1000.0,0.0007501363409753844,0.0007501363409758262,25309,META:DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN,MNXR126238,R04621,rxn03168,3.6.1.-,
HPPK2,6-hydroxymethyl-dihydropterin pyrophosphokinase,6hmhpt_c + atp_c --> 6hmhptpp_c + amp_c + h_c,CIW80_18475,Cofactor and Prosthetic Group Biosynthesis,Essential,0.0,1000.0,0.0007501363409753844,0.0007501363409758264,11415,META:H2PTERIDINEPYROPHOSPHOKIN-RXN,MNXR100694,R03503,,2.7.6.3,
PTPATi,Pantetheine-phosphate adenylyltransferase,atp_c + h_c + pan4p_c --> dpcoa_c + ppi_c,CIW80_12870,Cofactor and Prosthetic Group Biosynthesis,Essential,0.0,1000.0,0.0007557427411319953,0.0007557427411321718,19804,META:PANTEPADENYLYLTRAN-RXN,MNXR95892,R03035,rxn02175,2.7.7.3,R-XTR-196754
HEX7,Hexokinase (D-fructose:ATP),atp_c + fru_c --> adp_c + f6p_c + h_c,CIW80_20090,Alternate Carbon Metabolism,Not essential,0.0,1000.0,0.0,-8.376244289370325e-12,,,MNXR100614,R00867,,2.7.1.4,
DXPRIi,1-deoxy-D-xylulose reductoisomerase,dxyl5p_c + h_c + nadph_c --> 2me4p_c + nadp_c,CIW80_18630,Cofactor and Prosthetic Group Biosynthesis,Essential,0.0,1000.0,0.002678737994903221,0.0026787379949036044,13720,META:DXPREDISOM-RXN,MNXR97830,R05688,rxn03958,1.1.1.267,
OPHBDC,Octaprenyl-hydroxybenzoate decarboxylase,3ophb_c + h_c --> 2oph_c + co2_c,CIW80_14195,Cofactor and Prosthetic Group Biosynthesis,Essential,0.0,1000.0,0.00025004544699180827,0.00025004544699180426,27781,META:3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN,MNXR102201,R04986,rxn03393,4.1.1.98,
OHPHM,2-octaprenyl-6-hydroxyphenol methylase,2ohph_c + amet_c --> 2omph_c + ahcys_c + h_c,CIW80_05110,Cofactor and Prosthetic Group Biosynthesis,Not essential,0.0,1000.0,0.0,-3.989541061149314e-18,27773,META:2-OCTAPRENYL-6-OHPHENOL-METHY-RXN,MNXR102170,R04988,rxn03395,2.1.1.222,
GHMT2r,"Glycine hydroxymethyltransferase, reversible",ser__L_c + thf_c <=> gly_c + h2o_c + mlthf_c,CIW80_06560,Glycine and Serine Metabolism,Not essential,-1000.0,1000.0,1.19004140798294,1.1900414080168324,15484,,MNXR100142,R00945,,2.1.2.1,
DHORD2,Dihydoorotic acid dehydrogenase (quinone8),dhor__S_c + q8_c --> orot_c + q8h2_c,CIW80_22710,Purine and Pyrimidine Biosynthesis,Not essential,0.0,1000.0,0.0,0.3709138279735668,28690,,MNXR97418,,rxn08335,,
ADK4,Adentylate kinase (ITP),amp_c + itp_c <=> adp_c + idp_c,CIW80_20510,Nucleotide Salvage Pathway,Not essential,-1000.0,1000.0,-2.110396319769573e-11,0.0,29870,,MNXR95453,,rxn08067,,
INSK,Insosine kinase,atp_c + ins_c --> adp_c + h_c + imp_c,CIW80_20525,Nucleotide Salvage Pathway,Not essential,0.0,1000.0,0.0,1.0598424103941982e-11,21143,META:INOSINEKIN-RXN,MNXR100845,R01131,rxn00835,2.7.1.73,
ABTA,4-aminobutyrate transaminase,4abut_c + akg_c --> glu__L_c + sucsal_c,CIW80_06960,Arginine and Proline Metabolism,Not essential,0.0,1000.0,0.0,6.0563521172613786e-12,23355,META:GABATRANSAM-RXN,MNXR95186,R01648,rxn01204,2.6.1.19,
SSALx,Succinate-semialdehyde dehydrogenase (NAD),h2o_c + nad_c + sucsal_c --> 2.0 h_c + nadh_c + succ_c,CIW80_00575,Arginine and Proline Metabolism,Not essential,0.0,1000.0,0.0,4.710496091203131e-12,13220,META:SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN,MNXR104540,R00713,rxn00508,1.2.1.24,R-XTR-888548
ASPT,L-aspartase,asp__L_c --> fum_c + nh4_c,CIW80_16015,Alanine and Aspartate Metabolism,Not essential,0.0,1000.0,0.0,2.1197232410414198e-11,16604,META:ASPARTASE-RXN,MNXR96099,R00490,rxn00347,4.3.1.1,
SERD_L,L-serine deaminase,ser__L_c --> nh4_c + pyr_c,CIW80_10050 or CIW80_01965 or CIW80_07665 or CIW80_13410 or CIW80_10075,Glycine and Serine Metabolism,Not essential,0.0,1000.0,0.0,7.065744136804426e-12,19172,META:4.3.1.17-RXN,MNXR104339,R00223,rxn00165,4.3.1.19,
THRD,L-threonine dehydrogenase,nad_c + thr__L_c --> 2aobut_c + h_c + nadh_c,CIW80_12795 or CIW80_12655,Glycine and Serine Metabolism,Not essential,0.0,1000.0,0.0,4.239446482082177e-12,13164,META:THREODEHYD-RXN,MNXR103402,R01465,rxn01068,1.1.1.103,R-HSA-6798667
HEX4,Hexokinase (D-mannose:ATP),atp_c + man_c --> adp_c + h_c + man6p_c,,Alternate Carbon Metabolism,Not essential,0.0,1000.0,0.0,1.0598616205206554e-11,11031,META:MANNKIN-RXN,MNXR95795,R01326,rxn00975,2.7.1.7,
KARA1,"Ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)",23dhmb_c + nadp_c <=> alac__S_c + h_c + nadph_c,CIW80_13735,"Valine, Leucine, and Isoleucine Metabolism",Essential,-1000.0,1000.0,-0.9804102571828253,-0.980410257174471,22071,META:ACETOLACTREDUCTOISOM-RXN,MNXR97523,R04439,,1.1.1.86,
KARA2,Ketol-acid reductoisomerase (2-Acetolactate),2ahbut_c + h_c + nadph_c <=> 23dhmp_c + nadp_c,CIW80_13735,"Valine, Leucine, and Isoleucine Metabolism",Essential,-1000.0,1000.0,0.3257643662290719,0.32576436623076765,13496,META:ACETOOHBUTREDUCTOISOM-RXN,MNXR100902,,,1.1.1.86,
ACCOAC,Acetyl-CoA carboxylase,accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c,CIW80_05510 and CIW80_10735 and CIW80_10740 and CIW80_18690,Membrane Lipid Metabolism,Essential,0.0,1000.0,0.08726922484023511,0.0872692248508337,11311,META:ACETYL-COA-CARBOXYLTRANSFER-RXN,MNXR95219,R00742,rxn00533,6.4.1.2,R-XTR-8876889
NADK,NAD kinase,atp_c + nad_c --> adp_c + h_c + nadp_c,CIW80_06905,Cofactor and Prosthetic Group Biosynthesis,Essential,0.0,1000.0,0.000501212174012863,0.0005012121846158504,18632,META:NAD-KIN-RXN,MNXR101882,R00104,rxn00077,2.7.1.23,R-XTR-197198
SUCBZS,O-succinylbenzoate-CoA synthase,2shchc_c --> h2o_c + sucbz_c,CIW80_05255,Cofactor and Prosthetic Group Biosynthesis,Not essential,0.0,1000.0,0.0,-4.750157449802548e-15,10199,META:O-SUCCINYLBENZOATE-COA-SYN-RXN,MNXR108605,R04031,rxn02832,4.2.1.113,
DHBD,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",23ddhb_c + nad_c <=> 23dhb_c + h_c + nadh_c,CIW80_20990,Cofactor and Prosthetic Group Biosynthesis,Not essential,-1000.0,1000.0,0.0,7.615772123501573e-13,23827,META:DHBDEHYD-RXN,MNXR97368,R01505,rxn01094,1.3.1.28,
ICHORT,Isochorismatase,h2o_c + ichor_c --> 23ddhb_c + pyr_c,CIW80_20985,Cofactor and Prosthetic Group Biosynthesis,Not essential,0.0,1000.0,0.0,7.615772123501573e-13,11115,META:ISOCHORMAT-RXN,MNXR100785,R03037,rxn02177,3.3.2.1,
RBK_L1,L-ribulokinase (L-ribulose),atp_c + rbl__L_c --> adp_c + h_c + ru5p__L_c,CIW80_18000,Alternate Carbon Metabolism,Not essential,0.0,1000.0,-9.379539198976012e-12,0.0,22075,META:RXN0-5116,MNXR103433,R02439,rxn01763,2.7.1.16,
RBP4E,L-ribulose-phosphate 4-epimerase,ru5p__L_c <=> xu5p__D_c,CIW80_17990 or CIW80_16315 or CIW80_12640,Alternate Carbon Metabolism,Not essential,-1000.0,1000.0,-9.379539198976012e-12,0.0,22371,META:RIBULPEPIM-RXN,MNXR103434,R05850,rxn04082,5.1.3.4,
NTD2,5'-nucleotidase (UMP),h2o_c + ump_c --> pi_c + uri_c,CIW80_07420 or CIW80_17520 or CIW80_21350,Nucleotide Salvage Pathway,Not essential,0.0,1000.0,0.0,1.0598616205206617e-11,29362,META:RXN-14025,MNXR102032,R00963,rxn00708,3.1.3.5,
NTD4,5'-nucleotidase (CMP),cmp_c + h2o_c --> cytd_c + pi_c,CIW80_07420 or CIW80_21350,Nucleotide Salvage Pathway,Not essential,0.0,1000.0,0.0,1.0598616205206616e-11,29370,META:RXN-14026,MNXR102034,R00511,rxn00363,3.1.3.91,
NTD5,5'-nucleotidase (dTMP),dtmp_c + h2o_c --> pi_c + thymd_c,CIW80_07420 or CIW80_17520 or CIW80_05390,Nucleotide Salvage Pathway,Not essential,0.0,1000.0,0.0,1.059861620520656e-11,11083,META:THYMIDYLATE-5-PHOSPHATASE-RXN,MNXR102035,R01569,rxn01145,3.1.3.89,
NTD6,5'-nucleotidase (dAMP),damp_c + h2o_c --> dad_2_c + pi_c,CIW80_07420 or CIW80_05390,Nucleotide Salvage Pathway,Not essential,0.0,1000.0,0.0,1.0598616205206537e-11,29374,META:RXN-14161,MNXR102036,R02088,rxn13134,3.1.3.89,
LGTHL,Lactoylglutathione lyase,gthrd_c + mthgxl_c --> lgt__S_c,CIW80_01105,Methylglyoxal Metabolism,Not essential,0.0,1000.0,0.0,5.299308102603006e-12,19072,META:GLYOXI-RXN,MNXR100355,R02530,rxn01834,4.4.1.5,R-XTR-5694071
PYDXPP,Pyridoxal 5-phosphate phosphatase,h2o_c + pydx5p_c --> pi_c + pydx_c,CIW80_20355 or CIW80_14010 or CIW80_21820 or CIW80_21350,Cofactor and Prosthetic Group Biosynthesis,Not essential,0.0,1000.0,0.0,1.0598616205206619e-11,20536,META:3.1.3.74-RXN,MNXR103368,R00173,rxn00123,3.1.3.74,
PDXPP,Pyridoxine 5-phosphate phosphatase,h2o_c + pdx5p_c --> pi_c + pydxn_c,CIW80_21820,Cofactor and Prosthetic Group Biosynthesis,Not essential,0.0,1000.0,0.0,1.0598616205206558e-11,25115,META:RXN-14181,MNXR102440,R01911,rxn01398,3.1.3.74,
HACD6,3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA),3otdcoa_c + h_c + nadh_c <=> 3htdcoa_c + nad_c,CIW80_14210 or CIW80_05635,Membrane Lipid Metabolism,Not essential,-1000.0,1000.0,0.31177864039096626,0.3117786403982736,31170,META:RXN-12507,MNXR100547,R04739,rxn06777,1.1.1.35,R-XTR-77283
ECOAH1,3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA),3hbcoa_c <=> b2coa_c + h2o_c,CIW80_05635 or CIW80_14210,Membrane Lipid Metabolism,Not essential,-1000.0,1000.0,0.3990411375542108,0.3990411375633472,26561,META:RXN-11667,MNXR97883,R03026,rxn02167,4.2.1.55,R-XTR-77314
ECOAH2,3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA),3hhcoa_c <=> h2o_c + hx2coa_c,CIW80_05635 or CIW80_14210,Membrane Lipid Metabolism,Not essential,-1000.0,1000.0,0.3990411375542109,0.39904113756334725,30550,META:RXN-12567,MNXR97886,R04749,rxn03250,4.2.1.74,R-XTR-77325
ECOAH3,3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA),3hocoa_c <=> h2o_c + oc2coa_c,CIW80_05635 or CIW80_14210,Membrane Lipid Metabolism,Not essential,-1000.0,1000.0,0.3990411375542109,0.39904113755886583,31202,,MNXR97888,R04746,rxn03247,4.2.1.74,R-XTR-77333
UGLT,UDPglucose--hexose-1-phosphate uridylyltransferase,gal1p_c + udpg_c <=> g1p_c + udpgal_c,CIW80_21770,Alternate Carbon Metabolism,Not essential,-1000.0,1000.0,-7.674168435525742e-12,0.0,13992,META:GALACTURIDYLYLTRANS-RXN,MNXR143436,R00955,rxn00701,2.7.7.12,R-XTR-70361
DXPS,1-deoxy-D-xylulose 5-phosphate synthase,g3p_c + h_c + pyr_c --> co2_c + dxyl5p_c,CIW80_20215,Cofactor and Prosthetic Group Biosynthesis,Essential,0.0,1000.0,0.0031788288888868373,0.003178828888898479,12608,META:DXS-RXN,MNXR97831,R05636,rxn03909,2.2.1.7,
CDPMEK,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,4c2me_c + atp_c --> 2p4c2me_c + adp_c + h_c,CIW80_24935,Cofactor and Prosthetic Group Biosynthesis,Essential,0.0,1000.0,0.002678737994903221,0.0026787379949220493,18440,META:2.7.1.148-RXN,MNXR96558,R05634,rxn03908,2.7.1.148,
MECDPS,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",2p4c2me_c --> 2mecdp_c + cmp_c,CIW80_07430,Cofactor and Prosthetic Group Biosynthesis,Essential,0.0,1000.0,0.002678737994903221,0.002678737994922049,23867,META:RXN0-302,MNXR101424,R05637,rxn03910,4.6.1.12,
DDGLK,2-dehydro-3-deoxygluconokinase,2ddglcn_c + atp_c --> 2ddg6p_c + adp_c + h_c,CIW80_12300,Alternate Carbon Metabolism,Not essential,0.0,1000.0,-9.379539198975915e-12,0.0,14800,META:DEOXYGLUCONOKIN-RXN,MNXR138209,R01541,rxn01123,2.7.1.45,
XYLI2,Xylose isomerase,glc__D_c <=> fru_c,CIW80_12545,Alternate Carbon Metabolism,Not essential,-1000.0,1000.0,-2.1103963197695672e-11,-7.541637926803233e-13,28549,META:GLUCISOM-RXN,MNXR105254,R00307,rxn00223,5.3.1.5,
PMANM,Phosphomannomutase,man1p_c <=> man6p_c,CIW80_04030,Alternate Carbon Metabolism,Not essential,-1000.0,1000.0,-2.1103963197695743e-11,0.0,11143,META:PHOSMANMUT-RXN,MNXR101729,R01818,rxn01329,5.4.2.8,R-XTR-446201
ICL,Isocitrate lyase,icit_c --> glx_c + succ_c,CIW80_15155,Anaplerotic Reactions,Not essential,0.0,1000.0,0.0,-1.0773768466862452e-13,13248,,MNXR100789,R00479,rxn00336,4.1.3.1,
GLYCL,Glycine Cleavage System,gly_c + nad_c + thf_c --> co2_c + mlthf_c + nadh_c + nh4_c,CIW80_08240 and CIW80_08235 and CIW80_18330 and CIW80_08245,Folate Metabolism,Not essential,0.0,1000.0,0.0,-3.770818963401893e-13,27761,,MNXR100330,R01221,,2.1.2.10,
CMPN,CMP nucleosidase,cmp_c + h2o_c --> csn_c + r5p_c,,Nucleotide Salvage Pathway,Not essential,0.0,1000.0,0.0,-6.284698272336478e-14,,,MNXR96804,,,3.2.2.10,
UDPG4E,UDPglucose 4-epimerase,udpg_c <=> udpgal_c,CIW80_21775,Alternate Carbon Metabolism,Not essential,-1000.0,1000.0,0.0,-6.856034478912341e-14,22171,META:UDPGLUCEPIM-RXN,MNXR143428,R00291,rxn00214,5.1.3.2,R-XTR-70369
LACZ,B-galactosidase,h2o_c + lcts_c --> gal_c + glc__D_c,CIW80_19885,Alternate Carbon Metabolism,Not essential,0.0,1000.0,0.0,0.0,10079,,MNXR101000,R06114,rxn11244,3.2.1.23,
TRE6PH,Trehalose-6-phosphate hydrolase,h2o_c + tre6p_c --> g6p_c + glc__D_c,CIW80_16555,Alternate Carbon Metabolism,Not essential,0.0,1000.0,0.0,-9.427047408504684e-14,23011,META:TRE6PHYDRO-RXN,MNXR104925,R06113,rxn00606,3.2.1.93,
XYLI1,Xylose isomerase,xyl__D_c <=> xylu__D_c,CIW80_12545,Alternate Carbon Metabolism,Not essential,-1000.0,1000.0,-1.4069308798464211e-11,0.0,22819,META:XYLISOM-RXN,MNXR105253,R01432,rxn01044,5.3.1.5,
PPC,Phosphoenolpyruvate carboxylase,co2_c + h2o_c + pep_c --> h_c + oaa_c + pi_c,CIW80_14810,Anaplerotic Reactions,Not essential,0.0,1000.0,3.319238938241111,3.3192389382525387,23075,,MNXR103096,R00345,rxn00251,4.1.1.31,
ALDD4,"Aldehyde dehydrogenase (butanal, NAD)",btal_c + h2o_c + nad_c --> but_c + 2.0 h_c + nadh_c,,Alternate Carbon Metabolism,Not essential,0.0,1000.0,0.0,-6.10084033234499e-29,,,MNXR95755,,,,
G3PT,Glycerol-3-phosphatase,glyc3p_c + h2o_c --> glyc_c + pi_c,CIW80_22115 or CIW80_21350,Alternate Carbon Metabolism,Not essential,0.0,1000.0,0.0,-1.8854094817009475e-13,,META:RXN-14965,MNXR99894,R00841,rxn00610,3.1.3.21,
CITL,Citrate lyase,cit_c --> ac_c + oaa_c,CIW80_21080 and (CIW80_21095 and CIW80_21090 and CIW80_21085),Citric Acid Cycle,Not essential,0.0,1000.0,0.0,-1.8854094817009487e-13,10763,META:CITLY-RXN,MNXR96731,R00362,rxn00265,4.1.3.6,
GOFUCR,GDP-4-oxo-L-fucose reductase,gdpofuc_c + h_c + nadph_c --> gdpfuc_c + nadp_c,CIW80_04050,Cell Envelope Biosynthesis,Not essential,0.0,1000.0,0.0,-8.023019071067803e-15,,,MNXR100393,,rxn08666,1.1.1.271,
PYDXK,Pyridoxal kinase,atp_c + pydx_c --> adp_c + h_c + pydx5p_c,CIW80_05975 or CIW80_01030,Cofactor and Prosthetic Group Biosynthesis,Not essential,0.0,1000.0,-3.1265130663253015e-12,-1.8854094817009444e-13,10227,META:PYRIDOXKIN-RXN,MNXR103361,R00174,rxn00124,2.7.1.35,R-XTR-964970
GTPCII2,GTP cyclohydrolase II (25drapp),gtp_c + 3.0 h2o_c --> 25drapp_c + for_c + 2.0 h_c + ppi_c,CIW80_25350,Cofactor and Prosthetic Group Biosynthesis,Essential,0.0,1000.0,0.0005000908939836091,0.0005000908939771766,23707,META:GTP-CYCLOHYDRO-II-RXN,MNXR100455,R00425,,3.5.4.25,
URIC,Uricase,2.0 h2o_c + o2_c + urate_c --> alltn_c + co2_c + h2o2_c,,Unassigned,Not essential,0.0,1000.0,0.0,-1.478752534667403e-14,30654,,MNXR105159,,rxn09370,1.7.3.3,
SADT2,Sulfate adenyltransferase,atp_c + gtp_c + h2o_c + so4_c --> aps_c + gdp_c + pi_c + ppi_c,CIW80_07460 and CIW80_07455,Cysteine Metabolism,Essential,0.0,1000.0,0.2774966247193852,0.27749662471936026,,,MNXR104241,,rxn11356,2.7.7.4,
LCARS,"Lacaldehyde reductase (S-propane-1,2-diol forming)",h_c + lald__L_c + nadh_c <=> 12ppd__S_c + nad_c,CIW80_07675,Alternate Carbon Metabolism,Not essential,-1000.0,1000.0,-4.2207926395392404e-11,-7.541637926803696e-14,15936,META:LACTALDREDUCT-RXN,MNXR95714,R02258,,1.1.1.77,
ALCD19,Alcohol dehydrogenase (glycerol),glyald_c + h_c + nadh_c <=> glyc_c + nad_c,CIW80_00375 or CIW80_25140,Alternate Carbon Metabolism,Not essential,-1000.0,1000.0,-4.220792639539245e-11,-3.7708189634018833e-13,30030,,MNXR95709,R01036,rxn00763,1.1.1.72,
